longitude,latitude,direction
-17.513067333489047,65.13898520706213,-96.72012672807722
-17.514764728359527,65.15691316201553,-99.8697226156672
-17.516464662649458,65.17484105043987,-103.4730496249903
-17.518167141837516,65.19276887230765,-107.81095639685496
-17.519872171418196,65.21069662759128,-113.37939875569468
-17.521579756901883,65.22862431626302,-121.0948885681471
-17.5232899038149,65.24655193829499,-132.4283408046728
-17.525002617699563,65.26447949365918,-147.9191059136584
-17.52671790411425,65.28240698232747,-163.55621831981694
-17.528435768633447,65.30033440427155,-175.21515437830476
-17.530156216847825,65.31826175946311,176.65213002845587
-17.531879254364274,65.33618904787355,170.58487702705898
